"연번","서ㆍ센터ID","서ㆍ센터명","유형구분명","도서지역포함여부","상위서ㆍ센터ID","일련번호","경도","위도"
"","","서울소방재난본부","소방서","","","","126.98901035697418","37.55891937691529"
"79","1126502","119특수구조대","안전센터/구조대"," ","1126000","112","126.91445373521518","37.63368309890531"
"1","1116000","관악소방서","소방서"," ","1100000","43","126.95235494914391","37.47394275787235"
"11","1115000","서초소방서","소방서"," ","1100000","53","126.99195243889407","37.498421415606686"
"16","1119000","구로소방서","소방서"," ","1100000","58","126.86518667385565","37.49779883534639"
"33","1113000","마포소방서","소방서"," ","1100000","75","126.93318124306596","37.54938266606664"
"44","1122000","중랑소방서","소방서"," ","1100000","118","127.09485538428243","37.61535506957566"
"50","1107000","동대문소방서","소방서"," ","1100000","124","127.06665926380674","37.56400716191844"
"61","1117000","강서소방서","소방서"," ","1100000","94","126.860277886616","37.55803065009281"
"73","1112000","은평소방서","소방서"," ","1100000","106","126.91979002690215","37.6289128140661"
"81","1120000","송파소방서","소방서"," ","1100000","114","127.14259199328697","37.49979898838703"
"87","1104000","중부소방서","소방서"," ","1100000","129","127.0153975260016","37.56486868523106"
"97","1109000","성북소방서","소방서"," ","1100000","139","127.03175544581484","37.60243595855378"
"102","1123000","서대문소방서","소방서"," ","1100000","144","126.93590337976724","37.57326379305454"
"103","1106000","용산소방서","소방서"," ","1100000","145","126.97152835965021","37.53407956997007"
"106","1102000","동작소방서","소방서"," ","1100000","148","126.917677783596","37.494624192044654"
"114","1121000","양천소방서","소방서"," ","1100000","156","126.87225841263002","37.53016108023125"
"125","1127000","성동소방서","소방서"," ","1100000","167","127.03950980961186","37.55366493087618"
"128","1105000","광진소방서","소방서"," ","1100000","170","127.08275102440388","37.544832277208734"
"137","1125000","강북소방서","소방서"," ","1100000","2","127.0382032225783","37.63304506059517"
"142","1103000","종로소방서","소방서"," ","1100000","7","126.97890593968408","37.5728625217725"
"150","1108000","영등포소방서","소방서"," ","1100000","15","126.90415375137758","37.51849012974609"
"153","1114000","강남소방서","소방서"," ","1100000","18","127.06678384111113","37.51028613077841"
"161","1118000","강동소방서","소방서"," ","1100000","26","127.12493914857316","37.52927324600663"
"175","1111000","노원소방서","소방서"," ","1100000","40","127.07113692481828","37.638117128549275"
"176","1110000","도봉소방서","소방서"," ","1100000","41","127.04303903127342","37.6640387418431"
